;abies;acer;alnusfru;alnusund;apiaceae;artemisia;asterund;betunana;betula;brassicaceae;carpinus;chenopodiaceae;corylus;cyperaceae;ephedra;ericaceae;fagus;fraxinus;juniperus;larix;olea;picea;pinushap;pinus;plantago;poaceae;quercusever;quercusdec;salix;tilia;ulmus;gdd5;mtco;pann;e_pe;tann;mtwa;long;lati;alti;biome;age
BP16;23.8418079096045;0.112994350282486;0;18.1920903954802;0.225988700564972;0.903954802259887;0;0;0.790960451977401;0;0.56497175141243;0;5.76271186440678;1.69491525423729;0;0;23.9548022598871;2.03389830508475;0.338983050847458;0;0;9.03954802259887;0;1.35593220338983;0.903954802259887;6.4406779661017;0;2.93785310734463;0.451977401129944;0.112994350282486;0.338983050847458;NA;NA;NA;NA;NA;NA;8.3161;47.21;419;NA;2463.811475
BP17;18.5918591859186;0.11001100110011;0;19.031903190319;0;0.33003300330033;0;0;3.52035203520352;0;0.77007700770077;0;5.28052805280528;0.44004400440044;0;0;30.9130913091309;3.52035203520352;0.11001100110011;0;0;7.59075907590758;0;1.21012101210121;0.550055005500549;1.54015401540154;0;5.28052805280528;0.11001100110011;0.220022002200219;0.88008800880088;NA;NA;NA;NA;NA;NA;8.3162;47.22;419;NA;2809.303279
BP18;6.77618069815196;0.205338809034908;0;25.0513347022587;0;0.205338809034908;0;0;5.3388090349076;0;0.924024640657085;0.102669404517453;11.4989733059549;1.12936344969199;0;0.102669404517453;24.435318275154;4.82546201232033;0.308008213552361;0;0;4.0041067761807;0;1.23203285420945;0.513347022587269;2.46406570841889;0;8.62422997946612;0.513347022587269;0.924024640657085;0.82135523613963;NA;NA;NA;NA;NA;NA;8.3163;47.23;419;NA;3154.795082
BP19;7.95724465558195;0.1187648456057;0;24.3467933491687;0.1187648456057;0.1187648456057;0;0;7.83847980997625;0;0.237529691211402;0;9.73871733966746;1.187648456057;0;0.1187648456057;19.9524940617577;2.61282660332541;0.475059382422803;0;0;5.93824228028504;0;1.42517814726841;1.06888361045131;4.03800475059382;0;11.2826603325415;0.950118764845606;0.1187648456057;0.356294536817102;NA;NA;NA;NA;NA;NA;8.3164;47.24;419;NA;3327.540984
BP20;5.34351145038168;0.109051254089422;0;35.1145038167939;0.109051254089422;0.436205016357688;0;0;5.12540894220283;0;0.763358778625954;0.109051254089422;11.5594329334788;1.52671755725191;0;0.109051254089422;16.5757906215921;1.52671755725191;0.436205016357688;0;0;1.9629225736096;0;0.545256270447109;0.872410032715375;5.23446019629225;0;11.5594329334788;0.545256270447109;0.109051254089422;0.327153762268266;NA;NA;NA;NA;NA;NA;8.3165;47.25;419;NA;3500.286885
BP21;5.6910569105691;0;0;22.8803716608595;0.348432055749129;0.464576074332172;0;0;3.2520325203252;0;0;0.116144018583043;12.0789779326365;1.50987224157956;0;0;18.5830429732869;1.74216027874565;0.464576074332172;0;0;3.83275261324042;0;1.39372822299651;0.696864111498257;7.20092915214866;0;17.5377468060395;1.04529616724738;0.580720092915214;0.580720092915214;NA;NA;NA;NA;NA;NA;8.3166;47.26;419;NA;3673.032787
BP22;7.77891504605936;0.102354145342886;0;27.942681678608;0.102354145342886;0.307062436028659;0;0;7.4718526100307;0;0.204708290685773;0;13.7154554759467;1.12589559877175;0;0.102354145342886;19.1402251791198;2.86591606960082;0;0;0;2.9682702149437;0;1.12589559877175;1.12589559877175;4.60593654042989;0;7.77891504605936;1.02354145342886;0.204708290685773;0.307062436028659;NA;NA;NA;NA;NA;NA;8.3167;47.27;419;NA;3845.778689
BP23;15.6429156429156;0.081900081900082;0;28.992628992629;0.081900081900082;0;0;0;3.35790335790336;0;0;0;7.78050778050778;0.245700245700246;0;0;25.3890253890254;3.1941031941032;0.081900081900082;0;0;2.62080262080262;0;1.47420147420147;0.737100737100738;3.27600327600327;0;6.47010647010647;0;0.327600327600327;0.245700245700246;NA;NA;NA;NA;NA;NA;8.3168;47.28;419;NA;4191.270492
BP24;17.4041297935103;0.0983284169124877;0;22.9105211406096;0.0983284169124877;0.0983284169124877;0;0;3.34316617502458;0;0.294985250737464;0;9.6361848574238;0.589970501474926;0;0.0983284169124877;25.0737463126844;1.76991150442478;0.0983284169124877;0;0;5.50639134709932;0;1.27826941986234;0.491642084562439;3.83480825958702;0;5.89970501474926;0.294985250737464;0.491642084562439;0.688298918387414;NA;NA;NA;NA;NA;NA;8.3169;47.29;419;NA;4536.762295
BP25;15.1;0;0;30.2;0;0.4;0;0;3.4;0;0.1;0;8.7;0.9;0;0;23.6;2.4;0.2;0;0;3.2;0;2.5;0.4;2.3;0;4.3;0.5;1.1;0.7;NA;NA;NA;NA;NA;NA;8.3170;47.30;419;NA;4882.254098
