Pays;Annee_civile;Annee;G;L;H;Rdt
Iceland_a;2005;3;0.5;0.5;3.3;1.768
Norway_a;2005;2;0.5;0.5;3.3;3.531
Sweden_a;2005;3;0.5;0.5;3.3;2.628
Sweden_b;2005;2;0.5;0.5;3.3;3.269
France;2006;3;0.5;0.5;3.3;3.9
Norway_a;2006;3;0.5;0.5;3.3;2.654
Sweden_b;2006;3;0.5;0.5;3.3;1.727
Belgium;2003;1;0.2;0.8;2.56;4.494
Iceland_a;2003;1;0.2;0.8;2.56;3.254
Sweden_a;2003;1;0.2;0.8;2.56;4.214
Belgium;2004;2;0.2;0.8;2.56;6.906
France;2004;1;0.2;0.8;2.56;3.212
Iceland_a;2004;2;0.2;0.8;2.56;2.045
Norway_a;2004;1;0.2;0.8;2.56;5.541
Sweden_a;2004;2;0.2;0.8;2.56;3.93
Sweden_b;2004;1;0.2;0.8;2.56;3.653
Belgium;2005;3;0.2;0.8;2.56;4.923
France;2005;2;0.2;0.8;2.56;5.069
Iceland_a;2005;3;0.2;0.8;2.56;1.581
Norway_a;2005;2;0.2;0.8;2.56;3.44
Sweden_a;2005;3;0.2;0.8;2.56;3.145
Sweden_b;2005;2;0.2;0.8;2.56;2.934
France;2006;3;0.2;0.8;2.56;4.335
Norway_a;2006;3;0.2;0.8;2.56;2.766
Sweden_b;2006;3;0.2;0.8;2.56;1.848
Belgium;2003;1;0.2;0.8;2.56;4.145
Iceland_a;2003;1;0.2;0.8;2.56;1.635
Sweden_a;2003;1;0.2;0.8;2.56;4.842
Belgium;2004;2;0.2;0.8;2.56;7.3
France;2004;1;0.2;0.8;2.56;5.115
Iceland_a;2004;2;0.2;0.8;2.56;1.07
Norway_a;2004;1;0.2;0.8;2.56;5.643
Sweden_a;2004;2;0.2;0.8;2.56;4.949
Sweden_b;2004;1;0.2;0.8;2.56;4.338
Belgium;2005;3;0.2;0.8;2.56;5.279
France;2005;2;0.2;0.8;2.56;7.896
Iceland_a;2005;3;0.2;0.8;2.56;1.268
Norway_a;2005;2;0.2;0.8;2.56;5.029
Sweden_a;2005;3;0.2;0.8;2.56;3.639
Sweden_b;2005;2;0.2;0.8;2.56;3.549
France;2006;3;0.2;0.8;2.56;6.61
Norway_a;2006;3;0.2;0.8;2.56;4.565
Sweden_b;2006;3;0.2;0.8;2.56;2.196
Belgium;2003;1;0.5;0.5;4;4.319
Iceland_a;2003;1;0.5;0.5;4;3.28
Sweden_a;2003;1;0.5;0.5;4;3.021
Belgium;2004;2;0.5;0.5;4;7.256
France;2004;1;0.5;0.5;4;3.796
Iceland_a;2004;2;0.5;0.5;4;2.268
Norway_a;2004;1;0.5;0.5;4;4.377
Sweden_a;2004;2;0.5;0.5;4;3.396
Sweden_b;2004;1;0.5;0.5;4;3.752
Belgium;2005;3;0.5;0.5;4;4.524
France;2005;2;0.5;0.5;4;6.001
Iceland_a;2005;3;0.5;0.5;4;1.888
Norway_a;2005;2;0.5;0.5;4;3.221
Sweden_a;2005;3;0.5;0.5;4;2.906
Sweden_b;2005;2;0.5;0.5;4;3.112
