Bloc;Dose 1cm;Variété;Fractiont;Rdt;NG/m²;P1000g;QNgrain;QNveg;QNtot;INN;Prot;RdtP;NG/m²P;P1000gP;QNgrainP;QNvegP;QNtotP;INNP;ProtP;
2;0;M;3;57,58;12097;47,6;142,8;50,3;193,1;0,740;14,14;33,76;5992;56,3;115,1;40,7;155,7;0,739;19,43;
1;0;N;3;26,93;6113;44,1;63,6;36,2;99,8;0,637;13,45;38,24;7838;48,8;117,3;38,6;155,9;0,752;17,48;
2;0;N;3;41,23;8966;46,0;111,7;42,4;154,1;0,725;15,45;38,24;7838;48,8;117,3;38,6;155,9;0,752;17,48;
1;0;NF;3;36,75;7785;47,2;78,6;39,6;118,2;0,665;12,20;41,55;8253;50,3;122,1;35,0;157,1;0,777;16,75;
2;0;NF;3;57,87;11433;50,6;118,1;45,5;163,5;0,722;11,63;41,55;8253;50,3;122,1;35,0;157,1;0,777;16,75;
1;0;L;4;24,68;6361;38,8;52,8;45,1;97,9;0,540;12,20;44,20;8977;49,2;146,3;57,7;204,0;0,717;18,86;
2;0;L;4;28,97;7401;39,1;68,9;30,2;99,1;0,696;13,57;44,20;8977;49,2;146,3;57,7;204,0;0,717;18,86;
1;0;M;4;36,84;8373;44,0;86,9;38,5;125,4;0,693;13,45;35,36;6276;56,3;138,0;65,7;203,7;0,678;22,25;
2;0;M;4;30,64;6919;44,3;80,9;72,1;153,0;0,529;15,05;35,36;6276;56,3;138,0;65,7;203,7;0,678;22,25;
1;0;N;4;33,18;7866;42,2;73,0;19,1;92,1;0,792;12,54;40,05;8208;48,8;141,3;62,6;203,9;0,693;20,10;
2;0;N;4;34,43;8481;40,6;88,5;52,6;141,1;0,627;14,65;40,05;8208;48,8;141,3;62,6;203,9;0,693;20,10;
1;0;NF;4;25,45;5845;43,5;57,0;23,9;80,9;0,705;12,77;43,60;8653;50,4;148,7;56,4;205,1;0,725;19,44;
2;0;NF;4;60,62;11490;52,8;157,0;56,0;213,0;0,737;14,76;43,60;8653;50,4;148,7;56,4;205,1;0,725;19,44;
1;1;L;1;56,17;12544;44,8;87,6;37,6;125,2;0,700;8,89;50,92;10440;48,8;95,7;43,9;139,6;0,685;10,71;
2;1;L;1;50,89;10810;47,1;78,9;28,6;107,5;0,734;8,84;50,92;10440;48,8;95,7;43,9;139,6;0,685;10,71;
3;1;L;1;36,40;8164;44,6;55,0;22,5;77,5;0,710;8,61;50,92;10440;48,8;95,7;43,9;139,6;0,685;10,71;
1;1;M;1;36,29;9004;40,3;63,9;24,5;88,3;0,723;10,03;41,10;7295;56,3;89,5;49,6;139,1;0,643;12,41;
2;1;M;1;40,62;9941;40,9;71,5;27,0;98,5;0,726;10,03;41,10;7295;56,3;89,5;49,6;139,1;0,643;12,41;
3;1;M;1;40,97;9428;43,5;66,0;31,6;97,6;0,676;9,18;41,10;7295;56,3;89,5;49,6;139,1;0,643;12,41;
1;1;N;1;49,11;10793;45,5;89,9;25,9;115,8;0,776;10,43;46,54;9544;48,8;91,8;47,7;139,4;0,658;11,24;
2;1;N;1;32,44;7447;43,6;58,1;23,8;81,8;0,710;10,20;46,54;9544;48,8;91,8;47,7;139,4;0,658;11,24;
3;1;N;1;33,76;7859;43,0;58,4;35,6;94,0;0,621;9,86;46,54;9544;48,8;91,8;47,7;139,4;0,658;11,24;
1;1;NF;1;54,17;12250;44,2;79,1;20,1;99,2;0,798;8,32;51,11;10235;49,9;98,6;42,8;141,4;0,697;11,00;
2;1;NF;1;50,52;11716;43,1;73,3;32,2;105,4;0,695;8,27;51,11;10235;49,9;98,6;42,8;141,4;0,697;11,00;
3;1;NF;1;36,62;7458;49,1;56,4;32,9;89,3;0,631;8,78;51,11;10235;49,9;98,6;42,8;141,4;0,697;11,00;
1;1;L;2;45,11;10639;42,4;75,8;31,8;107,6;0,704;9,58;54,88;11212;48,9;123,0;64,6;187,6;0,656;12,77;
2;1;L;2;47,88;10132;47,3;87,1;50,1;137,3;0,635;10,37;54,88;11212;48,9;123,0;64,6;187,6;0,656;12,77;
3;1;L;2;44,15;10240;43,1;78,2;35,1;113,2;0,690;10,09;54,88;11212;48,9;123,0;64,6;187,6;0,656;12,77;
1;1;M;2;38,45;9434;40,8;75,7;36,4;112,2;0,675;11,23;44,15;7835;56,3;114,1;73,1;187,1;0,610;14,73;
2;1;M;2;52,83;12566;42,0;102,5;46,3;148,8;0,689;11,06;44,15;7835;56,3;114,1;73,1;187,1;0,610;14,73;
