Consommateur;Produit;Appréciation;Ferme;Juteux;Sucré;Amer;Odeur intense;Acide;Croquant;Goûteux;Granuleux;Mou;Sans odeur;Sans goût;Farineux;Goût de pomme;Astringent
33;992;5;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0
33;Ideal;;1;1;1;0;1;0;1;1;0;0;0;0;0;1;0
34;106;4;0;0;0;1;0;1;1;0;0;0;0;0;0;0;1
34;257;9;0;1;1;0;0;1;1;1;0;0;0;0;0;1;0
34;366;7;0;1;0;0;0;0;1;0;0;0;0;0;0;1;0
34;548;8;0;1;1;0;0;0;1;0;0;0;0;0;0;0;0
34;992;3;0;0;1;0;0;0;0;0;0;0;0;1;1;0;0
34;Ideal;;0;1;1;0;0;1;1;1;0;0;0;0;0;1;0
35;106;9;1;1;0;0;1;1;1;0;0;0;0;0;0;0;0
35;257;9;1;1;0;0;0;1;1;0;0;0;0;0;0;0;0
35;366;1;0;0;0;0;0;0;0;0;0;0;1;1;1;0;0
35;548;7;1;1;0;0;0;0;1;1;0;0;1;0;0;0;0
35;992;4;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0
35;Ideal;;1;1;0;0;1;1;1;0;0;0;0;0;0;0;0
36;106;4;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0
36;257;4;1;1;0;0;0;1;1;0;0;0;0;0;0;0;0
36;366;9;1;1;1;0;0;0;1;1;0;0;0;0;0;1;0
36;548;6;1;1;0;0;0;0;1;0;0;0;0;0;0;1;0
36;992;9;1;1;1;0;0;0;0;1;0;0;0;0;0;1;0
36;Ideal;;1;1;1;0;1;0;0;1;0;0;0;0;0;1;0
37;106;6;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1
37;257;8;1;1;1;0;0;0;1;0;0;0;0;0;0;0;0
37;366;4;0;0;0;0;0;0;0;0;0;1;0;1;1;0;0
37;548;9;1;1;1;0;0;0;1;1;0;0;0;0;0;0;0
37;992;6;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0
37;Ideal;;1;1;1;0;0;0;1;1;0;0;0;0;0;0;0
38;106;8;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
38;257;7;1;1;0;0;0;1;1;0;0;0;0;0;0;1;0
38;366;9;0;1;1;0;0;0;1;1;0;0;1;0;0;1;0
38;548;7;1;1;1;0;0;0;0;0;0;0;1;1;0;1;0
38;992;7;0;1;1;0;0;0;0;0;0;1;0;0;1;0;0
38;Ideal;;1;1;1;0;0;0;1;1;0;0;0;0;0;1;0
39;106;3;1;1;0;0;0;1;1;0;0;0;1;0;0;1;0
39;257;8;1;1;0;0;0;1;1;0;0;0;1;0;0;1;0
39;366;6;1;1;0;1;0;0;1;0;0;0;1;0;0;0;0
39;548;7;1;1;0;1;0;0;1;0;0;0;0;0;0;0;0
39;992;7;0;1;1;0;0;0;1;0;0;1;1;0;1;0;0
39;Ideal;;1;1;1;0;1;0;1;1;0;0;0;0;0;0;0
40;106;6;1;1;0;0;0;1;1;0;0;0;0;0;0;1;0
40;257;8;1;1;0;0;0;1;1;0;0;0;0;0;0;1;0
40;366;7;1;1;0;0;0;0;0;0;0;0;0;0;0;1;0
40;548;8;1;1;0;0;0;0;0;1;0;0;0;0;0;1;0
40;992;7;0;1;1;0;0;0;0;0;0;1;0;0;0;1;0
40;Ideal;;1;1;0;0;0;0;1;1;0;0;0;0;0;1;0
41;106;5;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
41;257;7;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0
41;366;4;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
41;548;7;0;1;1;0;0;0;0;0;0;0;0;0;0;1;0
41;992;9;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0
41;Ideal;;1;1;1;0;0;0;0;0;0;0;0;0;0;1;0
42;106;9;1;1;0;0;1;1;0;1;0;0;0;0;0;0;0
42;257;9;1;1;0;0;0;1;0;0;0;0;0;0;0;1;0
42;366;7;0;0;0;0;0;0;0;0;0;1;0;1;1;0;0
42;548;9;1;1;1;0;0;0;1;1;0;0;0;0;0;0;0
42;992;8;0;0;1;0;0;0;0;0;0;1;0;0;1;0;0
42;Ideal;;1;1;1;0;1;0;1;1;0;0;0;0;0;0;0
43;106;4;1;1;0;0;0;1;1;0;0;0;0;0;0;0;1
43;257;8;1;1;1;0;0;1;1;1;0;0;0;0;0;0;1
43;366;5;1;1;0;0;0;1;0;0;0;1;0;1;1;0;0
43;548;5;1;1;0;0;0;0;1;0;0;0;1;1;0;0;0
43;992;9;1;1;1;0;0;0;1;1;1;0;0;0;0;1;0
43;Ideal;;1;1;1;0;1;0;1;1;0;0;0;0;0;1;0
44;106;4;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
44;257;7;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
44;366;6;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
44;548;8;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
44;992;9;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
44;Ideal;;1;1;1;0;0;0;0;1;0;0;0;0;0;0;0
45;106;2;0;0;0;1;0;1;1;0;0;0;0;0;0;0;1
45;257;8;1;1;1;0;1;0;1;1;0;0;0;0;0;0;0
45;366;3;0;0;0;0;0;1;0;0;0;0;0;1;1;0;1
45;548;7;1;1;1;0;0;0;1;1;0;0;0;0;0;0;0
45;992;2;0;0;0;0;0;0;0;0;1;1;1;1;1;0;0
45;Ideal;;1;1;1;0;0;0;1;1;0;0;0;0;0;1;0
46;106;8;1;1;0;0;0;1;1;1;0;0;0;0;0;1;0
46;257;9;1;1;0;0;0;1;0;1;0;0;0;0;0;1;0
46;366;8;0;1;0;0;0;0;0;0;0;1;1;1;0;0;0
46;548;1;1;1;1;0;0;0;1;1;0;0;0;0;0;1;0
46;992;7;1;0;1;0;0;0;0;0;1;0;0;0;1;1;0
46;Ideal;;1;1;1;0;0;1;1;1;0;0;0;0;0;1;0
47;106;5;1;1;0;0;0;0;1;0;0;0;0;0;0;0;0
47;257;7;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0
47;366;5;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0
47;548;7;1;1;0;0;0;0;1;0;0;0;0;0;0;0;0
47;992;6;0;1;0;0;0;0;1;0;0;0;0;0;0;1;0
47;Ideal;;1;1;0;0;0;0;1;0;0;0;0;0;0;1;0
48;106;6;0;0;0;1;0;1;1;0;0;0;0;1;0;0;0
48;257;8;0;1;0;0;0;1;1;0;0;0;0;0;0;0;1
48;366;5;0;1;0;0;0;0;0;0;1;0;0;0;0;1;0
48;548;9;1;1;0;0;0;1;0;1;0;0;0;0;0;0;0
48;992;5;0;1;0;0;0;0;0;0;1;0;0;0;1;0;0
48;Ideal;;1;1;1;0;0;0;1;1;0;0;0;0;0;1;0
49;106;9;1;0;0;0;0;1;1;1;0;0;1;0;0;0;0
49;257;9;0;0;1;0;0;0;1;1;0;0;0;0;0;1;0
49;366;3;0;1;0;0;0;0;0;0;0;1;0;1;0;0;0
49;548;8;0;1;1;0;0;0;0;1;0;0;1;0;0;0;0
49;992;4;0;1;1;0;0;0;0;0;1;1;0;0;0;0;0
49;Ideal;;1;1;0;0;1;1;0;1;0;0;0;0;0;0;0
50;106;6;0;0;0;1;0;1;0;0;0;0;1;0;0;0;0
50;257;9;1;1;0;0;0;0;0;1;0;0;0;0;0;1;0
50;366;5;0;1;0;0;0;1;0;0;0;0;0;0;1;0;0
50;548;9;1;1;0;1;0;0;1;0;0;0;1;0;0;0;0
50;992;3;0;0;1;0;0;0;0;0;1;0;0;0;1;0;0
50;Ideal;;1;1;1;0;0;0;0;1;0;0;0;0;0;1;0
51;106;1;1;0;0;0;0;1;1;0;0;0;0;1;0;0;0
51;257;9;1;1;0;0;0;1;1;1;0;0;0;0;0;1;0
51;366;2;0;0;0;0;0;0;0;0;1;1;1;1;1;0;0
51;548;9;1;1;1;0;0;0;1;1;0;0;0;0;0;1;0
51;992;1;0;0;0;0;0;0;0;0;1;1;1;1;1;0;0
51;Ideal;;1;1;1;0;0;1;1;1;0;0;0;0;0;1;1
52;106;6;1;1;0;0;0;1;1;1;0;0;0;0;0;0;0
52;257;9;1;1;0;0;0;1;1;1;0;0;0;0;0;0;0
52;366;6;0;0;0;0;0;0;0;0;0;1;0;1;1;0;0
52;548;9;0;1;0;0;0;0;1;1;0;0;0;0;0;0;0
52;992;7;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0
52;Ideal;;1;1;1;0;0;0;1;1;0;0;0;0;0;1;0
53;106;4;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0
53;257;6;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
53;366;3;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
53;548;8;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0
53;992;7;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0
53;Ideal;;1;1;1;0;0;0;1;0;0;0;0;0;0;0;0
54;106;7;1;1;0;0;0;0;0;1;0;0;0;0;0;0;0
54;257;5;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
54;366;8;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0
54;548;8;1;1;0;0;0;0;1;1;0;0;0;0;0;0;0
54;992;6;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0
54;Ideal;;1;1;0;0;0;0;1;1;0;0;0;0;0;0;0
55;106;5;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
55;257;6;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
55;366;2;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0
55;548;9;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0
55;992;2;0;0;0;0;0;0;0;0;1;1;0;0;1;0;0
55;Ideal;;1;1;1;0;1;0;0;1;0;0;0;0;0;1;1
56;106;5;1;1;0;0;1;1;0;0;0;0;0;0;0;0;0
56;257;9;1;1;1;0;1;0;1;0;0;0;0;0;0;0;0
56;366;5;0;1;0;0;0;0;0;0;0;0;1;1;1;0;0
56;548;9;1;1;1;0;1;0;0;0;0;0;0;0;0;0;0
56;992;5;0;0;1;0;1;0;0;0;0;1;0;0;1;0;0
56;Ideal;;1;1;1;0;1;0;1;1;0;0;0;0;0;0;0
57;106;5;0;0;0;0;0;1;0;0;0;0;0;1;0;0;1
57;257;6;1;0;0;0;0;0;1;0;0;0;1;1;0;0;0
57;366;7;0;0;0;0;0;0;0;0;1;1;0;0;1;0;0
57;548;8;0;1;0;0;0;0;0;1;0;0;1;0;0;0;0
57;992;7;0;0;1;0;0;0;0;0;1;0;0;0;1;0;0
57;Ideal;;1;1;1;0;0;0;0;0;0;0;0;0;0;1;0
58;106;8;1;0;0;0;0;1;1;1;0;0;0;0;0;0;0
58;257;9;1;1;1;0;1;0;1;0;0;0;0;0;0;0;0
58;366;5;0;0;0;0;0;0;0;0;1;1;1;0;1;0;0
58;548;9;1;1;1;0;1;0;1;1;0;0;0;0;0;0;0
58;992;4;0;1;1;0;0;0;0;0;0;0;0;1;1;0;0
58;Ideal;;1;1;1;0;1;0;1;1;0;0;0;0;0;0;0
59;106;6;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0
59;257;5;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0
59;366;5;0;0;0;0;0;0;0;0;0;1;1;0;1;0;0
59;548;7;1;1;0;0;0;0;0;1;0;0;0;0;0;0;0
59;992;8;0;1;0;0;0;0;0;1;0;0;0;0;0;1;0
59;Ideal;;1;1;0;0;0;0;0;1;0;0;0;0;0;0;0
60;106;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
60;257;9;1;1;1;0;0;0;1;1;0;0;0;0;0;1;0
60;366;3;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
60;548;7;0;1;1;0;0;0;0;1;0;0;0;0;0;0;0
60;992;7;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0
60;Ideal;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
61;106;3;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0
61;257;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
61;366;8;1;1;0;0;0;0;0;1;0;1;0;0;0;0;0
61;548;2;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0
61;992;9;1;1;1;0;1;0;1;0;0;0;0;0;0;1;0
61;Ideal;;0;1;1;0;1;0;1;1;0;0;0;0;0;1;0
62;106;9;1;1;0;0;0;1;0;1;0;0;0;0;0;0;0
62;257;6;1;1;0;0;0;1;0;0;0;0;0;0;0;1;0
62;366;9;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0
62;548;7;1;1;0;0;0;0;0;0;0;0;0;0;0;1;0
62;992;9;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0
62;Ideal;;0;0;1;0;0;0;0;1;0;0;0;0;1;1;0
63;106;9;1;1;0;0;0;1;0;1;0;0;1;0;0;0;0
63;257;9;1;1;1;0;1;1;1;1;0;0;0;0;0;0;0
