"abies";"acer";"alnusfru";"alnusund";"apiaceae";"artemisia";"asterund";"betunana";"betula";"brassicaceae";"carpinus";"chenopodiaceae";"corylus";"cyperaceae";"ephedra";"ericaceae";"fagus";"fraxinus";"juniperus";"larix";"olea";"picea";"pinushap";"pinus";"plantago";"poaceae";"quercusever";"quercusdec";"salix";"tilia";"ulmus";"gdd5";"mtco";"pann";"e_pe";"tann";"mtwa";"long";"lati";"alti";"biome"
"e428";0;0;0;2.77;0.16;0.16;0;0;29.95;0.08;0;0.16;0.24;7.21;0;0.16;0;0;10.06;0;0;3.25;0;43.98;0;1.35;0;0.32;0.08;0;0.08;999.597;-7.056;589.029;93.946;3.352;15.171;22.08;60.13;16;"COMX"
"e429";0;0;0;2.22;0.09;0.09;0;0;10.85;0;0;0.09;0.34;0.17;0;10.5;0;0;0.09;0;0;16.23;0;56.11;0;3.25;0;0;0;0;0;944.688;-7.462;533.217;94.178;2.982;14.903;21.57;61.2;29;"COMX"
"e431";0;0;0;3.87;0.25;0.12;0.12;0;7.23;0;0;0;0.5;0.5;0;26.68;0;0;0;0;0;6.48;0;53.74;0;0.5;0;0;0;0;0;1013.018;-6.829;565.609;92.85;3.471;15.2;21.36;60.07;17;"COMX"
"e434";0;0;0;6.39;0;0.19;0.28;0;27.44;0;0.19;0;0.47;1.13;0;0.85;0;0;0.19;0;0;2.44;0;56.95;0;1.97;0;0;0.09;1.32;0.09;942.486;-8.944;612.852;98.391;2.418;15.042;28.07;61.13;83;"COMX"
"e435";0;0;0;4.89;0;0.09;0;0;16.98;0;0.09;0.17;0.17;0.43;0;0.17;0;0;8.06;0;0;9.78;0;54.63;0.09;3.69;0;0.77;0;0;0;1013.307;-6.546;553.194;91.966;3.607;15.2;19.59;60.21;14;"COMX"
"e466";1.75;0;0;7.02;1.75;0;0;0;0;0.58;4.68;2.34;0.58;0;0;3.51;9.94;0;2.92;0;11.7;0;0;5.26;2.92;32.75;4.09;2.92;1.17;0;4.09;3494.26;6.624;770.654;68.665;14.333;22.275;12.2;42.07;0;"COMX"
"e497";0.05;0;0;0.14;0.05;0.24;0.29;0;0;0.29;0;4.19;0;86.18;0;0;0.19;0.05;0;0;0.05;0;0;1.72;0.24;5.1;0;1.19;0.05;0;0;3036.964;2.938;839.516;70.557;12.865;22.272;21.35;40.37;560;"WAST"
"e524";0;0;0;3.85;0;0;0.52;0;28.15;0;0;0;0.52;4.2;0;2.27;0;0;0;0;0;3.32;0;50.52;0;5.77;0;0;0.87;0;0;749.39;-8.087;933.45;99.316;1.848;13.593;11.4;64.55;92;"COMX"
"e528";1.17;0;0;4.85;0.06;0.58;0.64;0;4.97;0.12;0.41;1.23;1.23;0.94;0;27.64;2.22;0.06;0;0;0;12.51;0;29.11;2.28;7.89;0;1.05;0.18;0.35;0.53;1934.712;-2.957;908.836;98.001;8.41;19.593;19.49;49.29;656;"COMX"
"e532";9.7;1.52;0;16.92;1.71;1.52;1.52;0;6.08;0;1.33;0.57;6.65;3.23;0;0;4.94;3.42;0;0;0;0.95;0;15.4;0.57;9.7;0;3.23;7.79;1.71;1.52;1816.178;-3.699;818.452;98.348;7.551;18.95;21.06;49.38;465;"COMX"
"e537";1.42;0;0;5.1;0;1.13;1.7;0;7.93;0.85;0.57;0.28;1.42;14.45;0;1.13;0.85;0;0.57;0;0;0.85;0;33.43;2.55;21.25;0;2.55;1.42;0.28;0.28;1963.413;-1.622;679.188;91.011;8.626;19.232;20.47;50.47;248;"COMX"
"ec01";0;0;0;4.73;0;0.59;0;0;10.35;0;0;0;4.73;13.91;0;25.74;0;0;0;0;0;0;0;20.71;0.3;17.16;0;1.18;0.3;0;0.3;1249.801;-6.031;929.965;99.896;4.661;16.141;-3.58;57.03;500;"COMX"
"ec02";0;0;0;1.28;0;0;0.21;0;10.02;0.43;0;0;0.21;8.1;0;41.58;0;0;0;0;0;0;0;14.5;1.28;22.17;0;0;0.21;0;0;1180.113;-6.443;920.429;100.128;4.304;15.88;-3.33;57.1;500;"COMX"
"ec03";0;0;0;5.03;0;0;0;0;5.49;0;0;0;8.47;10.98;0;16.25;0;0;0;0;0;0;0;16.25;0.46;35.24;0;0.92;0;0;0.92;1161.168;-7.972;949.885;100.741;3.629;15.79;-3.4;57.1;765;"COMX"
"er02";0;0;0;0.34;0.69;0.34;4.48;0;0;0.34;0;0.34;0;0.34;0;1.38;0;1.38;0.69;0;5.17;0;0;34.48;3.1;23.79;14.14;8.62;0.34;0;0;2501.368;0.578;750.907;65.572;10.96;20.714;-3.7;40.93;1060;"XERO"
"er13";0;0;0;0;0.23;0.23;2.06;0;0.23;0;0;0.23;0.23;0.69;0;0.69;0.23;0;0.46;0;1.61;0;0;28.67;3.21;15.37;1.15;43.58;0.69;0;0;2225.375;-1.44;856.376;72.059;9.692;20.055;-3.8;40.96;1280;"XERO"
"er17";0;0;0;0.31;0.31;0.92;1.54;0;0;0.31;0;0;0;0;0;0;0;0.62;0;0;3.38;0;0;23.69;0.62;5.54;4.92;57.54;0.31;0;0;1984.589;-2.782;597.426;60.228;8.845;19.579;-3.8;40.98;1430;"COMX"
"er22";0;0;0;0;0.44;0.44;1.11;0;0;0;0;0.22;0;1.55;0;0.22;0;0;0.44;0;0.22;0;0;88.27;0.22;3.32;1.99;1.33;0.22;0;0;1706.057;-5.106;660.464;64.98;7.343;18.749;-3.8;40.98;1680;"XERO"
"er25";0;0;0;0;0.18;0.18;0.53;0;0.18;0;0;0.18;0;0;0;0.18;0;0.35;0.89;0;0.89;0;0;87.41;0.71;4.08;2.66;1.42;0;0;0.18;1534.4;-6.711;712.746;68.829;6.292;18.151;-3.8;40.98;1850;"XERO"
"er28";0;0;0;0.36;0;1.08;1.79;0;0.36;0;0;0.36;0.36;0.36;0;2.15;0;0.36;10.39;0;2.51;0;0;43.01;1.43;24.37;5.38;5.38;0.36;0;0;1344.412;-9.354;1102.661;90.285;4.525;17.142;-3.83;40.98;2120;"XERO"
"er45";0;0;0;0.33;0.67;1.67;2.01;0;0;0;0;1;0;0.33;0;1.67;0;1.34;22.74;0;2.34;0;0;27.42;1;27.09;7.69;2.01;0.33;0;0;2369.744;-0.325;782.982;67.905;10.394;20.42;-3.81;41.1;1156;"XERO"
"er47";0;0;0;0;0;4.12;4.12;0;0;0;0;0.41;0;0.41;0;0.41;0;1.23;41.56;0;0.82;0;0;17.7;2.88;14.4;9.05;2.47;0;0;0.41;2375.329;-0.272;774.26;67.446;10.426;20.437;-3.8;41.11;1150;"XERO"
"es01";0;0;0;1.23;0;0.31;9.57;0;0.31;0;0;0;5.56;37.96;0;4.63;0.62;1.54;0;0;0;0;0;9.57;22.53;3.09;0.31;1.85;0;0;0.93;2485.011;0.399;786.478;63.368;10.871;20.693;-4.98;43.27;1100;"WAST"
"es02";0;0;0;2.4;4.57;0;3.37;0;3.85;0.72;0;0;19.23;4.33;0;1.44;1.44;1.92;0;0;0.72;0;0;5.53;4.33;36.06;0;2.64;6.25;0.24;0;1755.222;-4.291;1390.204;85.336;7.762;18.96;-6.13;42.02;1500;"TEDE"
"es03";0;0;0;3.43;0.31;0;8.1;0;4.98;0;0;0;11.53;4.98;0;4.05;0;0.62;0.31;0;0;0;0;16.2;0.62;39.25;0.31;5.3;0;0;0;3200.482;5.256;763.216;64.994;13.558;21.816;-7.55;43.23;402;"COMX"
"es04";0;0;0;2.76;0;0;0.5;0;0.25;0.5;0;0.25;2.26;3.52;0;1.01;0;0;0;0;1.01;0;0;53.52;2.76;27.89;0.5;3.02;0.25;0;0;3522.367;6.774;794.246;60.865;14.733;22.562;-8.73;43.12;400;"WAMX"
"es05";0;0;0;2;0;0;0.67;0;1;1;0;0.33;0.67;40;0;3.33;0;0.33;0;0;1.67;0;0;5.67;0.33;28.33;3.33;11;0;0;0.33;2977.725;3.002;771.965;55.919;12.725;21.725;-6.7;42.1;1000;"WAST"
"es06";0;0;0;0;0;0;6.3;0;0;0;0;0.27;0;0.27;0;0;0;0.55;0;0;0.27;0;0;47.95;0;44.11;0;0.27;0;0;0;3972.015;8.643;734.433;59.899;15.671;22.82;-8.99;39.68;100;"WAST"
